"0",icecream@tastes.good,pbkdf2:sha256:260000$1GvmeoAkcWb89TyU$5f711eafb243c1c1a884715dd9bd6d185f29ccd3dab59ad19cc201a7260091cb,"Joey","Shmoey", "700"
"1","stephenschristine@yahoo.com","pbkdf2:sha256:260000$4DzhwaDOZ1ZEZiRF$38d350b48f2f19a2e8ad9771f41c30b74f645ec76ec1618a511c810cc74af4cb","Madison","Obrien","421.65"
"2","hensontroy@yahoo.com","pbkdf2:sha256:260000$LWCvrOJnkJCwk4Sh$93687328dfa1a7105022f6ffa52cd2f15ff7c6ddbb0ffb4aca072f15a4e8ed97","Ronald","Miller","123.06"
"3","kimberly00@yahoo.com","pbkdf2:sha256:260000$OdFD7kvpnB2nzZ0O$fe15105704775127ca8c4d2eae4982f80d5febe931680cf6a339972553d68cc6","Melanie","Grant","731.6"
"4","ryanhoward@gmail.com","pbkdf2:sha256:260000$KBimHKst4sNP5dNl$50a1d2e24676e868182dc0b38555ca1c0b500eff8d80dcb06e777bc5ddd7b828","Jaime","Villegas","682.34"
"5","melissayates@hotmail.com","pbkdf2:sha256:260000$4pYDfhq5lrEKudV9$c88df709582f118a63f2c1c38c496122f68a72fc74a81b095839aa6160ebd2b8","Amanda","Smith","959.0"
"6","vmendez@hotmail.com","pbkdf2:sha256:260000$GpDVm9BNm8rFKmjm$9c51d5b91ff03aad5d48050299984bf7fa8d1ef9cdb28124406db456d2a4403d","John","Ellis","677.97"
"7","aaronhopkins@hotmail.com","pbkdf2:sha256:260000$HLi2mZJsFI2HTuwC$8e4ca395d6758ffed50c4ac61c34fd09a7d4895b2d3466c031cc49fcd705c0e2","Amanda","Griffin","493.0"
"8","bennettalan@hotmail.com","pbkdf2:sha256:260000$6jePqKyRPqfjCpL3$21382b98e3b99d507bd9bf3f2e94793131168035513836ed1fd281a040422912","David","White","959.34"
"9","april98@hotmail.com","pbkdf2:sha256:260000$9bxxi2NziZq2zUmE$95c885c23f5a6ab4866fc7fff2593537334a42122f3402fa59b5adfa8d8ff677","Kelly","Perkins","104.58"
"10","fsimmons@yahoo.com","pbkdf2:sha256:260000$HmIZPZEo6cvqNH2n$e929bc25ffe024d01a27823393edd1c0444c1aa16f7f443cd83f30482ce51af2","April","Nelson","217.95"
"11","hstevens@gmail.com","pbkdf2:sha256:260000$w0OV5YXGth6uC4io$f397ecdcfaa31a56c7aff109a889c6b2315a70b75698e0c07fdaebb6c180fd5c","Jesus","Nguyen","402.68"
"12","taylorjamie@yahoo.com","pbkdf2:sha256:260000$40se6dRpoU2BhW9d$f501ca13b12039f9d23af92c09192f41a01b47a21bf75b8012f58359223c2c57","Mitchell","Payne","328.51"
"13","areyes@yahoo.com","pbkdf2:sha256:260000$gpVBYLnAYGmDBNoJ$bb7a7824afbe78cd17496478dc2a978d14b4a381425334ffcd1e6f4fdfc1de65","Katherine","Brown","632.84"
