"0",icecream@tastes.good,pbkdf2:sha256:260000$1GvmeoAkcWb89TyU$5f711eafb243c1c1a884715dd9bd6d185f29ccd3dab59ad19cc201a7260091cb,"Joey","Shmoey", "Duke University", "700"
"1","qoliver@gmail.com","pbkdf2:sha256:260000$ZbY2XsL1WD2p6xQ6$eba86a66f97e0591b8c4a682c9210f51d9f82490a0f3c9ea68418394222dd5d9","Madison","Zuniga","2087 Candace Squares Suite 345, Masseyshire, GA 91949","959.94"
"2","valeriemorales@hotmail.com","pbkdf2:sha256:260000$puHceEPvmzX9dD68$2cec284c4bcb3fe5de477ae8ffa31d4ece73bf77fa7e94977cc1d074b16cf93d","Shane","Bradley","089 James Rest, Port Kevin, UT 24385","173.82"
"3","garciaregina@yahoo.com","pbkdf2:sha256:260000$hZ0m3ytJzpys1j28$ef60c7159f0dbcdc54cee58b95efce1ce93f41eaae48b0026b819232c4e9e93d","Andrew","Nelson","71760 Rogers Spur Apt. 296, North Lindseyborough, WA 29475","728.68"
"4","amyvelazquez@gmail.com","pbkdf2:sha256:260000$qcECkl0kAGemshW7$b7ef4b1c5116da89aa420ddb191151965228266f1373762221fee4696dd15d3f","Ashley","Ellis","USNV Meyers, FPO AE 69327","490.45"
"5","fbutler@hotmail.com","pbkdf2:sha256:260000$ZEWNmuqchRuJ7AXG$2ddfebdacf3bfad44647bc63578bc8b8965bd28d96e257cb31286bbbc2799e7c","David","Hancock","6097 Ellis Courts, Osbornetown, AZ 78921","855.13"
"6","aaronhopkins@hotmail.com","pbkdf2:sha256:260000$ka4inlzAySMp6DtN$3a18a2e47dd447403e3661496120a912da755804b31562d91bcb250b4cf826e2","Jessica","Butler","5093 Jacob Creek, Cooperview, DC 04162","517.45"
"7","fwelch@yahoo.com","pbkdf2:sha256:260000$2CEQakQGjjGmpUMk$a2c7df15a53e316c8159873095832f452cc2118b7ec3b24ad8fc527c05ea5c44","Edward","Ruiz","703 Wilson Roads Suite 892, Mccarthyfort, CO 89391","615.72"
"8","juliewilliams@hotmail.com","pbkdf2:sha256:260000$qZQ917ZQi40qg5IW$1c3c4613cf02d14fac2b4dbcfab053970b7afd15924c4fc029329c74a5470568","Keith","Taylor","81160 Williams River Apt. 443, Port Ashley, ID 14323","216.74"
"9","mbecker@yahoo.com","pbkdf2:sha256:260000$DpCbydc7cvWpDQR1$1809cf1eef084e9f75523bebb2130a1e1aec4ec29cdd13f08bb433be89d84a17","Kayla","Mitchell","9191 Morris Motorway, Jonathanhaven, AZ 25421","724.37"
"10","qherrera@yahoo.com","pbkdf2:sha256:260000$dfLyr9LSAgg4enDK$782fa940bd6f73a21f431171983faac0440e142f48787b606c09a0510e702e4a","Angela","Simmons","63340 Trevino Crossing, Brewerville, WA 74513","986.66"
"11","tpayne@gmail.com","pbkdf2:sha256:260000$gvAJKzMzPRt2Rzgj$8bc2a553a19a458762f7aa1f2ad3cced48a265a77385e39ab89d4a6ecd2021f0","Heather","Garza","4603 Leslie Summit, West Michelle, TN 95632","844.62"
"12","kelly27@gmail.com","pbkdf2:sha256:260000$bhJzoZo8IXPKeTy7$1eefb163af655e69d333ab152a3eef7727998bd6f11b27a1ebdbbb90aa6b7036","Stephanie","Newton","4760 Moreno Heights Suite 089, Sarahton, NH 52282","241.27"
"13","rfischer@yahoo.com","pbkdf2:sha256:260000$LDr1zt1SPDDLkYfO$499b119c7768cfba33b222141840a1a8a88c6aa227c1178f8b708b64868ececd","Brenda","Williams","8885 Lee Tunnel Suite 208, Port Donna, WY 74331","991.38"
"14","kgomez@gmail.com","pbkdf2:sha256:260000$ai8QJfsrgUfAC2nN$933b56ac69756c0a9749bc17bad1ffcc7955dc86bc59d2e4862dd609177939ef","Tammy","Reilly","7820 Ashlee Key, Adamborough, VT 15025","128.32"
